LLL04_mods:{'normalized': None, 'thickness': '18.0@40.0'}
1.0000000 0.0000000
0.9858746 0.0053418
0.9594486 0.0154918
0.9284866 0.0274566
0.8951493 0.0402428
0.8608868 0.0527052
0.8262710 0.0644937
0.7915058 0.0757472
0.7566734 0.0858230
0.7218093 0.0946864
0.6869378 0.1025823
0.6520790 0.1095243
0.6172533 0.1154003
0.5824794 0.1201937
0.5477755 0.1239525
0.5131746 0.1267134
0.4786951 0.1284369
0.4443612 0.1290692
0.4103075 0.1286614
0.3767156 0.1273771
0.3436137 0.1252296
0.3108253 0.1220812
0.2783519 0.1181122
0.2462942 0.1133004
0.2147947 0.1074461
0.1840933 0.1005407
0.1545081 0.0929192
0.1267460 0.0847868
0.1013238 0.0762251
0.0794556 0.0676521
0.0612825 0.0594803
0.0465537 0.0518021
0.0352262 0.0448302
0.0262864 0.0385497
0.0189953 0.0328664
0.0131473 0.0274812
0.0086379 0.0222313
0.0052301 0.0168952
0.0027480 0.0117745
0.0010881 0.0072256
0.0001958 0.0030263
0.0000000 0.0000000
0.0001958 -0.0030162
0.0010881 -0.0071185
0.0027480 -0.0112554
0.0052301 -0.0153216
0.0086379 -0.0191709
0.0131473 -0.0228933
0.0189953 -0.0263858
0.0262864 -0.0298351
0.0352262 -0.0334299
0.0465537 -0.0372231
0.0612825 -0.0408795
0.0794556 -0.0442312
0.1013238 -0.0473520
0.1267460 -0.0499108
0.1545081 -0.0517079
0.1840933 -0.0530127
0.2147947 -0.0538691
0.2462942 -0.0542728
0.2783519 -0.0541327
0.3108253 -0.0536443
0.3436137 -0.0530351
0.3767156 -0.0523276
0.4103075 -0.0512815
0.4443612 -0.0498660
0.4786951 -0.0481513
0.5131746 -0.0461383
0.5477755 -0.0437642
0.5824794 -0.0410281
0.6172533 -0.0380211
0.6520790 -0.0348411
0.6869378 -0.0315386
0.7218093 -0.0280860
0.7566734 -0.0245200
0.7915058 -0.0211652
0.8262710 -0.0180989
0.8608868 -0.0145994
0.8951493 -0.0106595
0.9284866 -0.0071384
0.9594486 -0.0040666
0.9858746 -0.0014621
1.0000000 0.0000000
