0012
1.0000000 0.0012586
0.9843230 0.0034819
0.9565955 0.0073174
0.9219818 0.0119381
0.8825328 0.0169872
0.8395376 0.0222362
0.7939343 0.0275197
0.7464616 0.0327083
0.6977298 0.0376937
0.6482608 0.0423791
0.5985117 0.0466749
0.5488904 0.0504959
0.4997658 0.0537622
0.4514757 0.0564000
0.4043320 0.0583441
0.3586252 0.0595410
0.3146274 0.0599500
0.2725951 0.0595509
0.2327707 0.0583483
0.1953851 0.0563566
0.1606581 0.0535927
0.1288001 0.0500866
0.1000132 0.0458573
0.0744916 0.0409796
0.0524225 0.0354100
0.0339868 0.0294001
0.0193595 0.0225806
0.0087102 0.0157380
0.0022037 0.0078919
0.0000000 0.0000000
0.0022037 -0.0078919
0.0087102 -0.0157380
0.0193595 -0.0225806
0.0339868 -0.0294001
0.0524225 -0.0354100
0.0744916 -0.0409796
0.1000132 -0.0458573
0.1288001 -0.0500866
0.1606581 -0.0535927
0.1953851 -0.0563566
0.2327707 -0.0583483
0.2725951 -0.0595509
0.3146274 -0.0599500
0.3586252 -0.0595410
0.4043320 -0.0583441
0.4514757 -0.0564000
0.4997658 -0.0537622
0.5488904 -0.0504959
0.5985117 -0.0466749
0.6482608 -0.0423791
0.6977298 -0.0376937
0.7464616 -0.0327083
0.7939343 -0.0275197
0.8395376 -0.0222362
0.8825328 -0.0169872
0.9219818 -0.0119381
0.9565955 -0.0073174
0.9843230 -0.0034819
1.0000000 -0.0012586
