LLH02_e
   1.0000000e+00   -0.0031404
   9.7844130e-01   2.8050000e-04
   9.3669640e-01   7.2556000e-03
   8.9294660e-01   1.5520900e-02
   8.4882670e-01   2.4488000e-02
   8.0448460e-01   3.3832700e-02
   7.6009510e-01   4.3266600e-02
   7.1573330e-01   5.2554600e-02
   6.7148950e-01   6.1502700e-02
   6.2735470e-01   6.9963100e-02
   5.8330920e-01   7.7786200e-02
   5.3933750e-01   8.4825900e-02
   4.9544060e-01   9.0934700e-02
   4.5163970e-01   9.5954500e-02
   4.0797300e-01   9.9714000e-02
   3.6449600e-01   1.0202320e-01
   3.2127230e-01   1.0268230e-01
   2.7840700e-01   1.0148420e-01
   2.3606120e-01   9.8200800e-02
   1.9444970e-01   9.2585500e-02
   1.5386650e-01   8.4480600e-02
   1.1471090e-01   7.3700400e-02
   7.7676864e-02   5.9851434e-02
   4.4657400e-02   4.2758700e-02
   2.1243000e-02   2.6490800e-02
   9.1712000e-03   1.5502300e-02
   3.2484000e-03   8.0292000e-03
   4.7530000e-04   2.2834000e-03
   3.2480000e-04  -2.6351000e-03
   3.2150000e-03  -7.6094000e-03
   9.4097000e-03  -1.1958700e-02
   2.1376500e-02  -1.7254300e-02
   4.2724200e-02  -2.3404400e-02
   5.6128000e-02  -2.5640000e-02
   8.1736000e-02  -2.7861000e-02
   1.0666300e-01  -2.8851000e-02
   1.5663000e-01  -2.8663000e-02
   2.0570900e-01  -2.7089000e-02
   2.5444300e-01  -2.4866000e-02
   3.0224900e-01  -2.2465000e-02
   4.0040300e-01  -1.7996000e-02
   4.9882600e-01  -1.3960000e-02
   5.9798100e-01  -9.8700000e-03
   6.9758300e-01  -5.2560000e-03
   8.0301060e-01  -3.3810000e-04
   8.4778350e-01   1.0994000e-03
   8.9250170e-01   1.0593000e-03
   9.3687540e-01   2.9570000e-04
   9.7856290e-01  -1.4120000e-03
   1.0000000e+00   -0.0031404
