LLL05 modified
 1.0000002     0.0005843
 0.9997602     0.0006858
 0.9990762     0.0009754
 0.9979972     0.0014334
 0.9965443     0.0020516
 0.9947326     0.0028245
 0.9925742     0.0037482
 0.9900806     0.0048194
 0.9872623     0.0060348
 0.9841288     0.0073912
 0.9806899     0.0088862
 0.9769561     0.0105161
 0.9729370     0.0122765
 0.9686412     0.0141627
 0.9640776     0.0161707
 0.9592552     0.0182952
 0.9541819     0.0205304
 0.9488646     0.0228716
 0.9433110     0.0253152
 0.9375309     0.0278566
 0.9315334     0.0304899
 0.9253275     0.0332086
 0.9189230     0.0360059
 0.9123297     0.0388715
 0.9055540     0.0417932
 0.8985981     0.0447597
 0.8914628     0.0477628
 0.8841487     0.0507961
 0.8766562     0.0538553
 0.8689864     0.0569386
 0.8611426     0.0600453
 0.8531296     0.0631748
 0.8449514     0.0663282
 0.8366165     0.0695110
 0.8281429     0.0727285
 0.8195571     0.0759756
 0.8108826     0.0792325
 0.8021313     0.0824713
 0.7933020     0.0856652
 0.7843849     0.0887950
 0.7753676     0.0918510
 0.7662412     0.0948308
 0.7570012     0.0977342
 0.7476443     0.1005607
 0.7381664     0.1033127
 0.7285673     0.1059975
 0.7188541     0.1086227
 0.7090379     0.1111903
 0.6991278     0.1136983
 0.6891318     0.1161458
 0.6790610     0.1185315
 0.6689276     0.1208485
 0.6587385     0.1230859
 0.6484954     0.1252355
 0.6382001     0.1272929
 0.6278557     0.1292536
 0.6174634     0.1311127
 0.6070232     0.1328683
 0.5965372     0.1345209
 0.5860093     0.1360699
 0.5754424     0.1375140
 0.5648381     0.1388546
 0.5542019     0.1400953
 0.5435422     0.1412373
 0.5328668     0.1422790
 0.5221819     0.1432193
 0.5114955     0.1440576
 0.5008170     0.1447901
 0.4901525     0.1454099
 0.4795043     0.1459114
 0.4688742     0.1462913
 0.4582642     0.1465465
 0.4476738     0.1466736
 0.4371000     0.1466727
 0.4265416     0.1465488
 0.4160008     0.1463080
 0.4054816     0.1459560
 0.3949892     0.1454993
 0.3845324     0.1449458
 0.3741257     0.1443003
 0.3637852     0.1435601
 0.3535233     0.1427146
 0.3433423     0.1417497
 0.3332350     0.1406565
 0.3231909     0.1394354
 0.3132031     0.1380955
 0.3032708     0.1366478
 0.2933956     0.1351036
 0.2835819     0.1334770
 0.2738421     0.1317834
 0.2641967     0.1300306
 0.2546649     0.1282157
 0.2452584     0.1263309
 0.2359842     0.1243708
 0.2268499     0.1223287
 0.2178581     0.1201934
 0.2090009     0.1179559
 0.2002652     0.1156184
 0.1916434     0.1131937
 0.1831376     0.1106960
 0.1747537     0.1081355
 0.1664982     0.1055201
 0.1583783     0.1028564
 0.1504009     0.1001493
 0.1425706     0.0974033
 0.1348919     0.0946261
 0.1273738     0.0918271
 0.1200296     0.0890119
 0.1128726     0.0861798
 0.1059115     0.0833259
 0.0991496     0.0804454
 0.0925863     0.0775363
 0.0862204     0.0746003
 0.0800513     0.0716415
 0.0740787     0.0686652
 0.0683031     0.0656798
 0.0627291     0.0626967
 0.0573682     0.0597251
 0.0522343     0.0567669
 0.0473384     0.0538180
 0.0426873     0.0508709
 0.0382815     0.0479139
 0.0341076     0.0449359
 0.0301390     0.0419429
 0.0263585     0.0389685
 0.0227816     0.0360538
 0.0194476     0.0332149
 0.0163870     0.0304389
 0.0136096     0.0277092
 0.0111220     0.0250170
 0.0089350     0.0223445
 0.0070414     0.0196586
 0.0053997     0.0169364
 0.0039547     0.0141986
 0.0026839     0.0115056
 0.0016151     0.0089117
 0.0007957     0.0064314
 0.0002568     0.0040495
 0.0000077     0.0017459
 0.0000454    -0.0004947
 0.0003575    -0.0026821
 0.0009234    -0.0048135
 0.0017266    -0.0068666
 0.0027722    -0.0088092
 0.0040863    -0.0106213
 0.0056963    -0.0123065
 0.0076132    -0.0138790
 0.0098348    -0.0153440
 0.0123663    -0.0166942
 0.0152287    -0.0179304
 0.0184397    -0.0190757
 0.0219925    -0.0201619
 0.0258619    -0.0212042
 0.0300256    -0.0221998
 0.0344685    -0.0231422
 0.0391736    -0.0240194
 0.0441325    -0.0248040
 0.0493631    -0.0254671
 0.0549010    -0.0260065
 0.0607666    -0.0264480
 0.0669532    -0.0268176
 0.0734457    -0.0271229
 0.0802387    -0.0273645
 0.0873289    -0.0275495
 0.0947057    -0.0276848
 0.1023582    -0.0277694
 0.1102818    -0.0278014
 0.1184726    -0.0277842
 0.1269216    -0.0277205
 0.1356206    -0.0276081
 0.1445662    -0.0274458
 0.1537539    -0.0272365
 0.1631752    -0.0269817
 0.1728230    -0.0266792
 0.1826942    -0.0263284
 0.1927840    -0.0259323
 0.2030839    -0.0254921
 0.2135879    -0.0250059
 0.2242926    -0.0244738
 0.2351930    -0.0238993
 0.2462807    -0.0232838
 0.2575498    -0.0226259
 0.2689970    -0.0219268
 0.2806167    -0.0211905
 0.2924005    -0.0204188
 0.3043426    -0.0196111
 0.3164394    -0.0187700
 0.3286845    -0.0179002
 0.3410692    -0.0170044
 0.3535870    -0.0160829
 0.3662337    -0.0151396
 0.3790014    -0.0141798
 0.3918806    -0.0132066
 0.4048642    -0.0122213
 0.4179466    -0.0112284
