0012_mod1
1.0000000 0.0012586
0.9843230 0.0041160
0.9565955 0.0090056
0.9219818 0.0148186
0.8825328 0.0210535
0.8395376 0.0273752
0.7939343 0.0335322
0.7464616 0.0393244
0.6977298 0.0445875
0.6482608 0.0491890
0.5985117 0.0530281
0.5488904 0.0560383
0.4997658 0.0581880
0.4514757 0.0594801
0.4043320 0.0599466
0.3586252 0.0596475
0.3146274 0.0586560
0.2725951 0.0570344
0.2327707 0.0548255
0.1953851 0.0520720
0.1606581 0.0487916
0.1288001 0.0450255
0.1000132 0.0408004
0.0744916 0.0360712
0.0524225 0.0310729
0.0339868 0.0254405
0.0193595 0.0196412
0.0087102 0.0135660
0.0022037 0.0067178
0.0000000 0.0000000
0.0022037 -0.0067178
0.0087102 -0.0135660
0.0193595 -0.0196412
0.0339868 -0.0254405
0.0524225 -0.0310729
0.0744916 -0.0360712
0.1000132 -0.0408004
0.1288001 -0.0450255
0.1606581 -0.0487916
0.1953851 -0.0520720
0.2327707 -0.0548255
0.2725951 -0.0570344
0.3146274 -0.0586560
0.3586252 -0.0596475
0.4043320 -0.0599466
0.4514757 -0.0594801
0.4997658 -0.0581880
0.5488904 -0.0560383
0.5985117 -0.0530281
0.6482608 -0.0491890
0.6977298 -0.0445875
0.7464616 -0.0393244
0.7939343 -0.0335322
0.8395376 -0.0273752
0.8825328 -0.0210535
0.9219818 -0.0148186
0.9565955 -0.0090056
0.9843230 -0.0041160
1.0000000 -0.0012586
