final_LLH04 
 1.0000037     0.0014346
 0.9775386     0.0064519
 0.9304375     0.0170309
 0.8813578     0.0292335
 0.8311633     0.0422348
 0.7807033     0.0552640
 0.7305318     0.0680708
 0.6807385     0.0803239
 0.6310912     0.0918083
 0.5816454     0.1023216
 0.5324170     0.1116090
 0.4834403     0.1194005
 0.4347872     0.1254027
 0.3866375     0.1292791
 0.3390165     0.1306302
 0.2919209     0.1292634
 0.2457513     0.1248929
 0.2006160     0.1171718
 0.1567249     0.1061054
 0.1150488     0.0915283
 0.0765673     0.0733792
 0.0429525     0.0520545
 0.0188791     0.0321369
 0.0073050     0.0195183
 0.0019073     0.0112674
-0.0001758     0.0050323
 0.0011071    -0.0004973
 0.0066483    -0.0049820
 0.0171414    -0.0087010
 0.0366650    -0.0127951
 0.0695439    -0.0140241
 0.1152044    -0.0116223
 0.1649798    -0.0071917
 0.2161590    -0.0023436
 0.2674828     0.0022390
 0.3180952     0.0060602
 0.3688606     0.0089193
 0.4198663     0.0110049
 0.4711242     0.0124215
 0.5226446     0.0133086
 0.5745011     0.0138411
 0.6266667     0.0142360
 0.6788695     0.0146308
 0.7308853     0.0150136
 0.7825928     0.0151520
 0.8329507     0.0147856
 0.8818777     0.0125460
 0.9323873     0.0089625
 0.9780724     0.0046142
 1.0000037     0.0014346
